,basque-DO-S_DO_V_AUX,basque-DO-S_IO_DO_V_AUX,basque-IO-IO_S_V_AUX,basque-IO-S_IO_DO_V_AUX,basque-S-IO_S_V_AUX,basque-S-S_DO_V_AUX,basque-S-S_IO_DO_V_AUX,basque-S-S_V_AUX,hindi-S_ne_O_V,hindi-S_ne_PossPRN_O_V,hindi-S_ne_PossPRN_PossN_O_V,hindi-S_O_V,hindi-S_PossPRN_O_V,hindi-S_PossPRN_PossN_O_V,swahili-N_of_Poss_D_A_V,swahili-N_of_Poss_D_AP_ni_AN,swahili-N_of_Poss_D_AP_V_ni_AN,swahili-N_of_Poss_D_ni_A,swahili-N_of_Poss_D_V,swahili-N_of_Poss_V
mGPT,-0.043,0.086,-0.992,0.180,0.068,-0.308,1.420,-0.659,-0.051,-0.316,-0.257,-0.222,0.068,0.043,0.624,0.257,0.128,0.137,0.428,0.351
BLOOM,0.035,0.231,0.339,0.131,0.258,0.098,0.128,0.075,0.016,0.034,0.019,0.041,0.035,0.014,0.006,0.022,0.007,0.019,0.041,0.039
XGLM,0.371,1.057,1.377,1.878,1.298,0.750,3.475,0.192,1.196,0.302,-0.313,0.436,0.215,0.316,2.068,1.417,0.791,1.291,2.696,1.949
XLM-R,1.270,1.294,0.353,1.518,0.586,0.502,2.437,0.057,0.785,0.753,0.647,0.775,0.488,0.693,0.270,0.241,-0.139,-0.041,0.246,-0.703
Average,0.408,0.667,0.269,0.927,0.553,0.261,1.865,-0.084,0.486,0.193,0.024,0.258,0.202,0.267,0.742,0.484,0.197,0.352,0.853,0.409
