word,category,subcategory,tense,possible_S,possible_DO,possible_IO
die,aux,nor-nori-nork,PRS FUT,sg,sg,pl
dizkio,aux,nor-nori-nork,PRS FUT,sg,pl,sg
dizkie,aux,nor-nori-nork,PRS FUT,sg,pl,pl
diote,aux,nor-nori-nork,PRS FUT,pl,sg,sg
diete,aux,nor-nori-nork,PRS FUT,pl,sg,pl
dizkiote,aux,nor-nori-nork,PRS FUT,pl,pl,sg
dizkiete,aux,nor-nori-nork,PRS FUT,pl,pl,pl
zion,aux,nor-nori-nork,PST,sg,sg,sg
zien,aux,nor-nori-nork,PST,sg,sg,pl
zizkion,aux,nor-nori-nork,PST,sg,pl,sg
zizkien,aux,nor-nori-nork,PST,sg,pl,pl
zioten,aux,nor-nori-nork,PST,pl,sg,sg
zieten,aux,nor-nori-nork,PST,pl,sg,pl
zizkioten,aux,nor-nori-nork,PST,pl,pl,sg
zizkieten,aux,nor-nori-nork,PST,pl,pl,pl
zaio,aux,nor-nori,PRS FUT,sg,_,sg
zaizkio,aux,nor-nori,PRS FUT,pl,_,sg
zaie,aux,nor-nori,PRS FUT,sg,_,pl
zaizkie,aux,nor-nori,PRS FUT,pl,_,pl
zitzaion,aux,nor-nori,PST,sg,_,sg
zitzaizkion,aux,nor-nori,PST,pl,_,sg
zitzaien,aux,nor-nori,PST,sg,_,pl
zitzaizkien,aux,nor-nori,PST,pl,_,pl
